id	char
710	彷
711	彻
712	彼
713	往
714	征
715	待
716	很
717	徉
718	徊
719	律
720	徒
721	得
722	徘
723	徜
724	御
725	徨
726	循
727	微
728	德
729	心
730	必
731	忆
732	忍
733	忏
734	志
735	忘
736	忙
737	忠
738	忧
739	快
740	念
741	忽
742	怀
743	态
744	怂
745	怅
746	怎
747	怒
748	怔
749	怕
750	怜
751	思
752	急
753	性
754	怨
755	怪
756	总
757	恃
758	恋
759	恍
760	恐
761	恒
762	恕
763	恢
764	恤
765	恨
766	恩
767	恬
768	恭
769	息
770	恰
771	恳
772	恼
773	恿
774	悄
775	悉
776	悔
777	悖
778	悟
779	悠
780	悦
781	悬
782	悲
783	悴
784	悸
785	情
786	惊
787	惑
788	惘
789	惚
790	惜
791	惟
792	惧
793	惨
794	惫
795	惯
796	想
797	惹
798	愀
799	愁
800	愈
801	愉
802	意
803	愚
804	感
805	愤
806	愧
807	愿
808	慌
809	慎
810	慕
811	慢
812	慧
813	慨
814	慰
815	憔
816	憧
817	憾
818	懂
819	懊
820	懒
821	懦
822	懵
823	戈
824	戏
825	成
826	我
827	戒
828	或
829	战
830	戳
831	戴
832	户
833	房
834	所
835	扇
836	手
837	才
838	扎
839	扑
840	打
841	扛
842	扣
843	执
844	扫
845	扬
846	扭
847	扯
848	扰
849	扶
850	批
851	找
852	承
853	技
854	把
855	抑
856	抓
857	投
858	抖
859	折
860	抚
861	抛
862	护
863	报
864	披
865	抬
866	抱
867	抵
868	抹
869	押
870	抽
871	拂
872	担
873	拆
874	拈
875	拉
876	拍
877	拎
878	拐
879	拒
880	拓
881	招
882	拜
883	拟
884	拥
885	拨
886	择
887	拼
888	拾
889	拿
890	持
891	挂
892	指
893	按
894	挑
895	挠
896	挡
897	挣
898	挥
899	挨
900	挫
901	挺
902	挽
903	捅
904	捡
905	换
906	捧
907	据
908	掀
909	掂
910	掇
911	掉
912	掌
913	掏
914	排
915	掘
916	掠
917	探
918	接
919	推
920	措
921	掺
922	揄
923	揉
924	揍
925	提
926	插
927	握
928	揪
929	揭
930	揽
931	搁
932	搏
933	搐
934	搜
935	搞
936	搭
937	摁
938	摄
939	摆
940	摇
941	摊
942	摘
943	摸
944	撑
945	撒
946	撕
947	撞
948	撩
949	播
950	撺
951	擅
952	操
953	擦
954	攀
955	攘
956	支
957	收
958	改
959	放
960	故
961	效
962	敌
963	敏
964	教
965	敞
966	敢
967	散
968	敬
969	数
970	敲
971	整
972	敷
973	文
974	斑
975	斓
976	斗
977	料
978	斜
979	斟
980	断
981	斯
982	新
983	方
984	施
985	旁
986	旅
987	旋
988	族
989	旗
990	无
991	日
992	旦
993	旧
994	早
995	时
996	旷
997	明
998	昏
999	易
1000	昔
1001	星
1002	映
1003	春
1004	昧
1005	昨
1006	是
1007	昵
1008	显
1009	晃
1010	晌
1011	晓
1012	晚
1013	晦
1014	晨
1015	普
1016	景
1017	晴
1018	晶
1019	智
1020	晾
1021	暂
1022	暄
1023	暑
1024	暖
1025	暗
1026	暮
1027	暴
1028	曲
1029	曳
1030	更
1031	曹
1032	曼
1033	曾
1034	替
1035	最
1036	月
1037	有
1038	朋
1039	服
1040	朗
1041	望
1042	朝
