id	char
713	担
714	拆
715	拉
716	拍
717	拒
718	拖
719	拘
720	拜
721	拥
722	择
723	拯
724	拳
725	拼
726	拾
727	拿
728	持
729	挂
730	指
731	按
732	挑
733	挚
734	挞
735	挡
736	挣
737	挤
738	挥
739	挽
740	捆
741	捉
742	换
743	据
744	掉
745	掌
746	排
747	接
748	控
749	推
750	掩
751	揉
752	握
753	揭
754	搏
755	搜
756	摆
757	摇
758	摊
759	摩
760	摸
761	撑
762	撒
763	撕
764	撞
765	擅
766	操
767	擦
768	攀
769	攰
770	收
771	改
772	放
773	故
774	救
775	敢
776	散
777	敬
778	数
779	整
780	敷
781	文
782	斑
783	斗
784	料
785	断
786	新
787	方
788	於
789	旁
790	旅
791	旋
792	无
793	既
794	日
795	旦
796	旧
797	早
798	旭
799	时
800	昂
801	明
802	昏
803	易
804	昔
805	星
806	映
807	春
808	昧
809	昨
810	是
811	昵
812	显
813	晃
814	晏
815	晒
816	晓
817	晚
818	晨
819	景
820	晰
821	晴
822	暂
823	暖
824	暗
825	暴
826	曙
827	曦
828	曲
829	更
830	曾
831	最
832	會
833	月
834	有
835	服
836	望
837	期
838	木
839	未
840	本
841	朴
842	朵
843	机
844	杂
845	权
846	李
847	束
848	条
849	来
850	杯
851	极
852	枉
853	枕
854	果
855	枝
856	枪
857	枫
858	枯
859	某
860	柔
861	查
862	标
863	树
864	样
865	根
866	格
867	桃
868	案
869	桥
870	梢
871	梦
872	械
873	棄
874	棋
875	植
876	楚
877	楼
878	概
879	槟
880	模
881	樣
882	樱
883	橘
884	次
885	欢
886	欣
887	欧
888	欲
889	欺
890	歇
891	歉
892	歌
893	止
894	正
895	此
896	步
897	歪
898	歲
899	死
900	殊
901	残
902	殒
903	段
904	毁
905	每
906	毒
907	比
908	毕
909	毫
910	毯
911	气
912	氧
913	水
914	永
915	求
916	汇
917	汗
918	污
919	汹
920	沁
921	沉
922	沒
923	沙
924	没
925	沦
926	沫
927	河
928	沸
929	油
930	沾
931	沿
932	泄
933	泊
934	法
935	泛
936	泡
937	波
938	泣
939	泥
940	注
941	泪
942	洁
943	洋
944	洒
945	洗
946	洞
947	津
948	洪
949	洲
950	活
951	流
952	浅
953	浇
954	浩
955	浪
956	浮
957	浴
958	海
959	消
960	涌
961	涛
962	涡
963	涨
964	涩
965	淋
966	淌
967	淡
968	深
969	混
970	淹
971	清
972	渊
973	渐
974	渡
975	温
976	港
977	渴
978	游
979	湃
980	湖
981	湾
982	湿
983	溃
984	溉
985	溶
986	滋
987	滞
988	满
989	滴
990	漂
991	漆
992	漏
993	漓
994	演
995	漠
996	漩
997	漫
998	潇
999	潜
1000	潮
1001	澈
1002	澎
1003	激
1004	瀚
1005	灌
1006	火
1007	灭
1008	灯
1009	灰
1010	灵
1011	灿
1012	点
1013	為
1014	炽
1015	烁
1016	烂
1017	烈
1018	烙
1019	烛
1020	烟
1021	烦
1022	烧
1023	热
1024	然
1025	煎
1026	照
1027	煽
1028	熄
1029	熏
1030	熟
1031	熬
1032	燃
1033	爬
1034	爱
1035	爸
1036	片
1037	牌
1038	牛
1039	牢
1040	物
1041	牲
1042	牵
1043	特
1044	牺
1045	犀
1046	犯
1047	犹
1048	狂
1049	狠
1050	独
1051	猛
1052	猜
1053	猪
1054	献
1055	率
1056	王
1057	玩
1058	玫
1059	环
1060	现
1061	玻
1062	珍
1063	班
1064	球
1065	理
1066	琴
1067	瑰
1068	璃
1069	瓣
1070	瓦
1071	瓶
1072	甘
1073	甜
1074	生
1075	用
1076	甩
1077	田
1078	由
1079	甲
1080	电
1081	男
1082	画
1083	界
1084	畏
1085	留
1086	略
1087	疏
1088	疑
1089	疚
1090	疤
1091	疯
1092	疲
1093	疼
1094	痒
1095	痕
1096	痛
1097	痴
1098	瘦
1099	瘴
1100	登
1101	白
1102	百
1103	的
1104	皇
1105	皮
1106	皱
1107	盐
1108	监
1109	盖
1110	盘
1111	盛
1112	目
1113	盲
1114	直
1115	相
1116	盼
1117	眉
1118	看
1119	真
1120	眠
1121	眨
1122	眶
1123	眼
1124	着
1125	睁
1126	睇
1127	睛
1128	睜
1129	睡
1130	瞬
1131	知
1132	矩
1133	短
1134	矯
1135	石
1136	码
1137	砂
1138	破
1139	确
1140	碌
1141	碍
1142	碎
1143	碰
1144	磅
1145	磨
1146	礡
1147	礴
1148	礼
1149	社
1150	祈
1151	祝
1152	神
1153	祷
1154	祸
1155	禁
1156	福
1157	离
1158	禾
1159	秀
1160	私
1161	秆
1162	秋
1163	种
1164	秒
1165	秘
1166	秤
1167	积
1168	稚
1169	種
1170	稳
1171	究
1172	穹
1173	空
1174	穿
1175	突
1176	窄
1177	窒
1178	窗
1179	窝
1180	立
1181	站
1182	竟
1183	童
1184	端
1185	笃
1186	笑
1187	笔
1188	符
1189	笨
1190	第
1191	笼
1192	等
1193	答
1194	简
1195	算
