id	char
699	奈
700	奉
701	奋
702	奏
703	契
704	奔
705	奕
706	奖
707	套
708	奢
709	奥
710	女
711	奴
712	奶
713	她
714	好
715	如
716	妄
717	妆
718	妇
719	妈
720	妒
721	妖
722	妙
723	妥
724	妨
725	妹
726	妻
727	姆
728	始
729	姐
730	姑
731	姓
732	委
733	姨
734	姿
735	威
736	娃
737	娇
738	娘
739	娛
740	娜
741	娱
742	娶
743	婀
744	婉
745	婚
746	婴
747	媚
748	媲
749	嫁
750	嫉
751	嫌
752	嬉
753	孀
754	子
755	孔
756	字
757	存
758	孙
759	季
760	孤
761	学
762	孩
763	孵
764	宁
765	它
766	宇
767	守
768	安
769	完
770	宏
771	宗
772	宙
773	定
774	宜
775	宝
776	实
777	宠
778	审
779	客
780	宣
781	室
782	宨
783	宫
784	宰
785	害
786	宴
787	宵
788	家
789	容
790	宽
791	宾
792	宿
793	寂
794	寄
795	密
796	富
797	寐
798	寒
799	寓
800	寝
801	寞
802	察
803	寡
804	寥
805	寰
806	寸
807	对
808	寻
809	导
810	封
811	射
812	将
813	將
814	尊
815	小
816	少
817	尔
818	尖
819	尘
820	尚
821	尝
822	尤
823	尬
824	就
825	尴
826	尸
827	尺
828	尼
829	尽
830	尾
831	局
832	屁
833	层
834	居
835	屈
836	屉
837	屋
838	屏
839	屑
840	展
841	属
842	履
843	屯
844	山
845	屹
846	岁
847	岔
848	岗
849	岛
850	岩
851	岭
852	岸
853	峡
854	峰
855	崇
856	崎
857	崖
858	崩
859	嵌
860	巡
861	巢
862	工
863	左
864	巧
865	巨
866	巫
867	差
868	己
869	已
870	巴
871	巷
872	市
873	布
874	帅
875	帆
876	师
877	希
878	帐
879	帕
880	帖
881	帘
882	帝
883	带
884	席
885	帮
886	常
887	帽
888	幅
889	幕
890	干
891	平
892	年
893	并
894	幸
895	幻
896	幼
897	幽
898	幾
899	广
900	庄
901	庆
902	床
903	序
904	应
905	底
906	店
907	府
908	庞
909	废
910	度
911	座
912	庭
913	康
914	庸
915	廉
916	廊
917	廓
918	延
919	建
920	廿
921	开
922	异
923	弃
924	弄
925	弊
926	式
927	引
928	弟
929	张
930	弥
931	弦
932	弯
933	弱
934	弹
935	强
936	归
937	当
938	录
939	形
940	彩
941	影
942	彷
943	彻
944	彼
945	往
946	征
947	径
948	待
949	很
950	徊
951	律
952	後
953	徐
954	徒
955	得
956	徘
957	徨
958	循
959	微
960	德
961	心
962	必
963	忆
964	忌
965	忍
966	忐
